Platzhalter;Standard;Deutsch
abilities-title;Abilities / Capacites / Fahigkeiten;Fähigkeiten / Abilities / Capacites
ability;Ability;Fähigkeit
advancement;Advancement / Reward Rolls;Aufstiege / Belohnungsmarker
advances;Advances;Aufstiege
affiliation;Affiliation;Zugehörigkeit
agility;Agility;Beweglichkeit
agility-skillroll;limbers up;macht sich locker
a-hit;A hit!;Treffer!
a-hit-choose;A hit! Choose from;Treffer! Wähle aus
aimed-shot;Aimed Shot!;Peng! Sorgfältig gezielt
alertness;Alertness;Aufmerksamkeit
alertness-skillroll;is on the alert;hält die Augen offen
armour;Armour;Rüstung
attack;Attack;Angriff
attack!;Attack!;Angriff!
attacks;Attacks;greift an
attacks!;attacks!;greift an!
attack-skill;Attack skill;Kampfkompetenz
attacks-with;attacks with;greift mit ... an
attempts-takedown;attempts a takedown;versucht jemanden niederzuringen
bad-karma;#$@$*#@! Bad Karma strikes!;#$@$*#@! Schlechtes Karma
bad-karma-minus;#$@$*#@! Bad Karma strikes! your next check is at -2 pips;#$@$*#@! Schlechtes Karma! Deine nächste Probe erhält -2 Pips
birthplace;Birthplace;Geburtsort
birthplace-title;Place of birth / Lieu de naissance / Geburtsort;Geburtsort / Place of birth / Lieu de naissance
blinded;Blinded;Blind
blinded-info;All checks to notice something by sight automatically fail. All checks for Search and Investigation, and all Attack checks and Defence checks are at ?5 pips. Many actions, like reading, are impossible. If the cause of the blindness is due to darkness, drop the Blinded Condition when light is restored. If the cause of the blindness is temporary, drop the Blinded Condition after the scene.;"Alle Proben, etwas mit Hilfe des Sehens zu bemerken, scheitern automatisch. Proben auf Suchen und Nachforschungen sowie alle Angriffs- und Verteidigungsproben sind um ?5 Pips erschwert. Viele Handlungen, wie zum Beispiel Lesen, sind unmöglich.
Wenn Dunkelheit die Ursache für die Blindheit ist, wird der Zustand Blind aufgehoben, sobald es wieder hell ist.
Wenn die Ursache der Blindheit vorübergehend ist, wird der Zustand Blind nach der Szene aufgehoben."
boss;Boss;Boss
character;CHARACTER;Charakter
charm;Charm;Charme
charm-skillroll;turns on the charm;zeigt sich von seiner besten Seite
chatname;Chat name;Chat Name
check-when-used;Check when used;Markiere, wenn benutzt
choose;Choose from;Wähle aus
choose-two;Choose two from;Wähle zwei von
combat;COMBAT;Kampf
combat-rolls;Combat rolls;Kampfwürfe
complication;Complication;Komplikation
complications-title;Complications / Desavantages / Komplikationen;Komplikationen / Complications / Desavantages
conditional-max;Conditional Max;Max. Zustände
conditions-title;Conditions;Zustände
contacts;Contacts;Kontakte
contacts-skillroll;calls in a favour;fordert einen Gefallen sein
contacts-title;Contacts;Kontakte
contents;Contents;Beinhaltet
cost;Cost;Kosten
cost-in;Cost ind Story Points;Kosten in Storypunkten
cover;COVER;Deckung
credit;Credit;Kreditwürdigkeit
credit-skillroll;flashes some cash;wedelt mit der Kohle
current-vitality;Current Vitality;Vitalität
damage;damage!;Schaden!
damage-all;damage to all targets;Schaden für alle Ziele
damage-dice;Damage dice;Schadenswürfel
damage-one;damage to one target;Schaden an einem Ziel
date-of-birth;Date of birth;Geburtsdatum
